"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"SIPA1:NM_001164568:NM_001164482:NM_011379:NM_001164480:NM_001164481",4623.34318596742,0.284147825471233,0.103348644736604,0.000418582804953341,0.0443661340071908
"SMARCC1:NM_009211",6069.19495762687,-0.0139849236751459,0.0991166366196708,0.000422589366879871,0.0443661340071908
"SYTL1:NM_031393",5579.55082129179,0.138982445063078,0.12382125732293,0.000421966262090455,0.0443661340071908
"TTLL3:NM_001142732:NM_133923",607.318897086901,0.642577262696814,0.198762953200714,0.000434269407176808,0.045284322709187
"6330577E15RIK:NM_026377",1726.78348798411,-0.593802728483541,0.157955462111425,0.000459181790988398,0.0472436838688263
"D4WSU53E:NM_023665",10081.9383368282,0.312488828097203,0.13021322893858,0.00045794413644256,0.0472436838688263
"KCNAB2:NM_010598",7901.8629509672,0.259725761457375,0.105389414767237,0.000463738094048893,0.0473964901023614
"CD52:NM_013706",1488.89177894874,-0.508523982505246,0.169032928337892,0.000472498411333846,0.0476605750465048
"CUL3:NM_016716",2635.15659947934,-0.136331724947119,0.138273277535416,0.000470864621155982,0.0476605750465048
"EIF3A:NM_010123",5417.70052127508,-0.107615754743811,0.0996247081981624,0.000476343736610211,0.0477364473188661
"4732471D19RIK:NM_176987",670.048992027483,-0.12952189426195,0.174788141955226,0.000512966518443136,0.050883312922232
"SMC4:NM_133786",25358.2936199605,-0.344684778740689,0.158573783746348,0.000514339196259198,0.050883312922232
"INF2:NM_198411",1017.37969467476,0.58013010329249,0.170035395540469,0.000526193688737595,0.0517245044476898
"ATP11C:NM_001037863:NM_001001798",863.855062806294,0.0759410189640956,0.216717218373893,0.000529966474479397,0.0517656493711426
"BAIAP3:NM_001163270",1052.47456626379,0.599694238973114,0.204177159925895,0.000543038811737434,0.0527089181229171
"SPCS3:NM_029701",2342.86473685858,-0.182566950552414,0.123460482537979,0.000550068291734351,0.0530575246646015
"RTN4:NM_194052:NM_194053:NM_194054:NM_194051:NM_024226",5615.40510072021,-0.20098240778981,0.109552865336278,0.000630405109708404,0.0604288326591913
"POGK:NM_175170:NM_001142948",828.894497185225,0.0562709055870904,0.157255654262271,0.00063774798109766,0.0607553369893839
"CCNG1:NM_009831",4402.71839174223,-0.106065683038315,0.103312351577458,0.000667134944734175,0.0627798390370885
"EIF2AK3:NM_010121",2537.51796951495,0.432021107803767,0.114448205071987,0.000663394065178748,0.0627798390370885
"SDAD1:NM_172713",1687.6367787208,0.00748881660374963,0.135609435264896,0.000677386198196009,0.0633581890712667
"4932438A13RIK:NM_172679",5426.5704395748,-0.0391842820884126,0.132527289387778,0.00069286688777552,0.0644157510785518
"VPS37A:NM_033560",1087.19477941456,-0.0229012323820257,0.150194597749697,0.000725611715596008,0.0670560814778036
"TRA2B:NM_009186",858.283443385016,-0.328338327876207,0.167089565370793,0.000733660212977467,0.0673962980171503
"ADSS:NM_007422",2457.08155629886,-0.20960319698299,0.124685433509767,0.000744181523348659,0.0674264440699846
"QSER1:NM_001123327",2078.24047279622,-0.202556619941417,0.157106635476272,0.000747095311084518,0.0674264440699846
"RPLP1:NM_018853",11655.5277015844,-0.427530476406282,0.11089109435867,0.000745212546165181,0.0674264440699846
"CBLB:NM_001033238",4422.50864549964,-0.230135708952586,0.109842437895786,0.000772856236247484,0.0693458738023687
"PRMT3:NM_133740",1184.78373771484,0.163546984397303,0.146303190508731,0.00081634759671545,0.0728248119081476
"SEC63:NM_153055",2484.44890510867,-0.172620676143783,0.130966361504731,0.00083332953149171,0.0739124980431699
